PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	[Anonymous]				[Anonymous]			With Ease into the Ultra-high Vacuum Hybrid Component made of glass fiber reinforced Plastic and a thin Functional Layer made of Stainless Steel	VAKUUM IN FORSCHUNG UND PRAXIS			German	News Item																		0	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	JUN	2021	33	3					7	7					1	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	SN4QB					2022-05-01	WOS:000658274900012
J	Perez, X; Gertmann, D; Kuhr, N				Perez, Xavier; Gertmann, Dirk; Kuhr, Niels			Strategies to meet sustainability in the ophthalmic industry Precision, process efficiency and recycling of process materials	VAKUUM IN FORSCHUNG UND PRAXIS			English	Article								Plastics are the standard material for all type of lenses and glasses in ophthalmic industry. During the making of Rx lenses up to 90 % of the thermoset material is wasted and cannot be material recycled. To improve the total energy balance, different measures can be taken. Reduction of total process time, increased scratch resistance efficiency improvement of vacuum coating systems and use of process data generated, as well as recycling of the evaporation material residues. All this will help to reduce the energy needed, and with it the carbon footprint, waste, and costs.	[Perez, Xavier] Ophthalm Field R&D & Prod, Alzenau, Germany; [Perez, Xavier] Buhler Leybold Opt, Opt R&D Team, Alzenau, Germany; [Perez, Xavier] Applicat Ctr, Ophthalm Lab, Alzenau, Germany; [Gertmann, Dirk] Ctr Competence Consumables Customer, Alzenau, Germany; [Kuhr, Niels] Buhler Leybold Opt, Alzenau, Germany; [Kuhr, Niels] Buhler Leybold Opt, Ophthalm, Alzenau, Germany		Perez, X (通讯作者)，Buhler Alzenau GmbH, Business Area Leybold Opt, Siemensstr 88, D-63755 Alzenau, Germany.	xavier.perez@buhlergroup.com					[Anonymous], 898042006 EN ISO, DOI [10.31030/9720087, DOI 10.31030/9720087]	1	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	APR	2021	33	2					24	27		10.1002/vipr.202100757			4	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	RI2LK					2022-05-01	WOS:000636740900020
J	[Anonymous]				[Anonymous]			Cool Thing Trumpf Venture invests in Start-up for Quantum Technology Cooling Systems	VAKUUM IN FORSCHUNG UND PRAXIS			German	News Item																		0	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	DEC	2021	33	6					14	14					1	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	XL3GF					2022-05-01	WOS:000728034800010
J	[Anonymous]				[Anonymous]			Correlated Metals for unconventional Superconductors New Insights thanks to resonant-inelastic X-ray Scattering	VAKUUM IN FORSCHUNG UND PRAXIS			German	News Item																		0	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	OCT	2021	33	5					17	18					2	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	WJ3YZ					2022-05-01	WOS:000708985400024
J	[Anonymous]				[Anonymous]			Rudolf-Jaeckel Prize of the German Society for Vacuum Technology is awarded to Prof. Dr. Oliver Ambacher Efficient Electronics based on broadband Semiconductor Structures reduce Energy Losses in Communication- and Energy Conversion Systems	VAKUUM IN FORSCHUNG UND PRAXIS			German	Biographical-Item																	AMBACHER O, PUBLICATION LIST	1	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	OCT	2021	33	5					23	23		10.1002/vipr.202170504			1	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	WJ3YZ					2022-05-01	WOS:000708985400006
J	[Anonymous]				[Anonymous]			APPLAUSE for the cost-effective Manufacturing of Photonics, Optics and Electronics From thermal Infrared Sensors for Traffic Safety to biocompatible Plasters for Diagnostic and Monitoring Tasks	VAKUUM IN FORSCHUNG UND PRAXIS			German	News Item																		0	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	AUG	2021	33	4					10	11					2	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	UD6SK					2022-05-01	WOS:000687336200005
J	[Anonymous]				[Anonymous]			Moon Dust as a Building Material Laser-fused Sheets of Regolith as a first Step toward 3D-Printing of Infrastructure on Earth's Satellite	VAKUUM IN FORSCHUNG UND PRAXIS			German	News Item																		0	0	0	1	2	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	FEB	2021	33	1					8	8					1	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	QI5DT					2022-05-01	WOS:000618998700004
J	Bobzin, K; Brogelmann, T; Carlet, M; Kruppe, NC; Engels, M; Arghavani, M				Bobzin, K.; Broegelmann, T.; Carlet, M.; Kruppe, N. C.; Engels, M.; Arghavani, M.			Crack Resistance of Diamond-Like Carbon Coatings Investigations with Nanoindentation	VAKUUM IN FORSCHUNG UND PRAXIS			English	Article							HARD COATINGS; DEFORMATION MECHANISMS; PLASTIC-DEFORMATION; FRACTURE; TIN	The aim of the current paper is the study of the crack resistance of diamond-like carbon (DCL) coatings deposited by direct current magnetron sputtering (dcMS) and high-power pulse magnetron sputtering (HPPMS) with different process parameters. For this purpose nanoindentation with a very high force resolution of R-FN <= 1 nN was used to analyze different a-C coatings, which were deposited under variation of the process gases argon, helium and neon. Owing to significantly high force resolution of the indenter, a large number N = 31,872 of data points in each force-displacement curve was recorded, which enabled the desired analyses. Based on the results, it can be stated that the nanoindentation is able to provide knowledge on the crack formation of DLC coatings. The coatings deposited with neon show a more promising behavior in point of elastic-plastic properties. In addition, the evaluation of the force-displacement curves indicates a higher resistance to crack formation of these coatings. Furthermore, investigations on the influence of the process gas pressure were conducted using Ne and three pressures p = 2.0 Pa, p = 1.5 Pa and p = 1.0 Pa. The results show that applying the moderate gas pressure can generate coatings with the highest toughness compared to the coatings deposited with higher and lower gas pressures.	[Bobzin, K.] Rhein Westfal TH Aachen, Surface Engn Inst, Kackertstr 15, D-52072 Aachen, Germany; [Broegelmann, T.] Rhein Westfal TH Aachen, Surface Engn Inst, Dept PVD Technol, Aachen, Germany; [Carlet, M.; Kruppe, N. C.; Engels, M.; Arghavani, M.] Rhein Westfal TH Aachen, Surface Engn Inst, Dept PVD Technol Tools, Aachen, Germany		Carlet, M (通讯作者)，Rhein Westfal TH Aachen, Surface Engn Inst, Kackertstr 15, D-52072 Aachen, Germany.	carlet@iot.rwth-aachen.de			German Research Foundation, Deutsche Forschungsgemeinschaft (DFG)German Research Foundation (DFG) [BO 1979/33-2 (235011713)]	The authors gratefully acknowledge the financial support of the German Research Foundation, Deutsche Forschungsgemeinschaft (DFG), within the research project BO 1979/33-2 (235011713).	Aijaz A, 2012, DIAM RELAT MATER, V23, P1, DOI 10.1016/j.diamond.2011.12.043; Bobzin K, 2017, SURF COAT TECH, V332, P253, DOI 10.1016/j.surfcoat.2017.06.092; Bobzin K, 2016, SURF COAT TECH, V308, P298, DOI 10.1016/j.surfcoat.2016.05.093; Bobzin K, 2016, SURF COAT TECH, V308, P80, DOI 10.1016/j.surfcoat.2016.07.099; Bobzin K, 2017, ADV ENG MATER, V19, DOI 10.1002/adem.201600632; Bobzin K, 2016, VAK FORSCH PRAX, V28, P28, DOI [10.1002/vipr.201600632, 10.1002/vipr.201500591]; Brogelmann T, 2019, THIN SOLID FILMS, V688, DOI 10.1016/j.tsf.2019.06.004; Cao YZ, 2016, SURF COAT TECH, V302, P126, DOI 10.1016/j.surfcoat.2016.05.049; Fischer-Cripps AC., 2002, MECH ENG S; Ma LW, 2010, SURF COAT TECH, V204, P1764, DOI 10.1016/j.surfcoat.2009.11.008; Rezaei S, 2018, MECH MATER, V117, P192, DOI 10.1016/j.mechmat.2017.11.006; Rzepiejewska-Malyska K, 2009, MICRON, V40, P22, DOI 10.1016/j.micron.2008.02.013; Sarakinos K, 2012, SURF COAT TECH, V206, P2706, DOI 10.1016/j.surfcoat.2011.11.032; Schlogl M, 2013, SCRIPTA MATER, V68, P917, DOI 10.1016/j.scriptamat.2013.01.039; Wheeler JM, 2014, SURF COAT TECH, V254, P382, DOI 10.1016/j.surfcoat.2014.06.048	15	0	0	1	1	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	DEC	2021	33	6					36	42		10.1002/vipr.202100769			7	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	XL3GF		hybrid			2022-05-01	WOS:000728034800028
J	[Anonymous]				[Anonymous]			Let the Molecules do it! New 2D Materials through Self-organization and Photopolymerization	VAKUUM IN FORSCHUNG UND PRAXIS			German	Editorial Material																	Grossmann L, 2021, NAT CHEM, V13, P730, DOI 10.1038/s41557-021-00709-y	1	0	0	0	0	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	AUG	2021	33	4					14	15					2	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	UD6SK					2022-05-01	WOS:000687336200008
J	[Anonymous]				[Anonymous]			2D-Nanomaterial MXene: The perfect Lubricant Innovative Nanomaterial delivers High Performance in Extreme Situations	VAKUUM IN FORSCHUNG UND PRAXIS			German	Editorial Material																	Grutzmacher PG, 2021, ACS NANO, V15, P8216, DOI 10.1021/acsnano.1c01555	1	0	0	1	1	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0947-076X	1522-2454		VAK FORSCH PRAX	Vak. Forsch. Prax.	JUN	2021	33	3					12	12		10.1002/vipr.202170311			1	Engineering, Mechanical	Emerging Sources Citation Index (ESCI)	Engineering	SN4QB					2022-05-01	WOS:000658274900016
